2026-01-22 07:19:36 | DEBUG    | Generated state: SYodBBNSeo_rBHGBTi106w
2026-01-22 07:19:36 | INFO     | 会话数据库初始化完成: /storage/emulated/0/000CLIProxyAPI-Python/data/simplified_login_sessions.db
2026-01-22 07:19:36 | DEBUG    | 创建会话: SYodBBNSeo_rBHGBTi106w
2026-01-22 07:19:36 | INFO     | 创建登录会话: SYodBBNSeo_rBHGBTi106w
2026-01-22 07:19:36 | DEBUG    | Session created in SQLite and memory
2026-01-22 07:19:36 | INFO     | 创建登录会话成功: SYodBBNSeo_rBHGBTi106w
2026-01-22 07:19:36 | INFO     | 授权 URL: https://iflow.cn/oauth?loginMethod=phone&type=phone&redirect=http%3A%2F%2Flocalhost%3A8000%2Fapi%2Fiflow%2Fcallback&state=SYodBBNSeo_rBHGBTi106w&client_id=10009311001
2026-01-22 07:19:36 | INFO     | 回调 URL: http://localhost:8000/api/iflow/callback
2026-01-22 07:20:07 | DEBUG    | create_login_session called with server_url=http://localhost:8000
2026-01-22 07:20:07 | DEBUG    | Generated state: c4vlPtd0bUXig9ppHAJTwg
2026-01-22 07:20:07 | INFO     | 会话数据库初始化完成: /storage/emulated/0/000CLIProxyAPI-Python/data/simplified_login_sessions.db
2026-01-22 07:20:07 | DEBUG    | 创建会话: c4vlPtd0bUXig9ppHAJTwg
2026-01-22 07:20:07 | INFO     | 创建登录会话: c4vlPtd0bUXig9ppHAJTwg
2026-01-22 07:20:07 | DEBUG    | Session created in SQLite and memory
2026-01-22 07:20:07 | INFO     | 创建登录会话成功: c4vlPtd0bUXig9ppHAJTwg
2026-01-22 07:20:07 | INFO     | 授权 URL: https://iflow.cn/oauth?loginMethod=phone&type=phone&redirect=http%3A%2F%2Flocalhost%3A8000%2Fapi%2Fiflow%2Fcallback&state=c4vlPtd0bUXig9ppHAJTwg&client_id=10009311001
2026-01-22 07:20:07 | INFO     | 回调 URL: http://localhost:8000/api/iflow/callback
2026-01-22 07:21:12 | DEBUG    | create_login_session called with server_url=http://localhost:8000
2026-01-22 07:21:12 | DEBUG    | Generated state: ZRqeA2lHmqo-p1A8wpjC6g
2026-01-22 07:21:12 | INFO     | 会话数据库初始化完成: /storage/emulated/0/000CLIProxyAPI-Python/data/simplified_login_sessions.db
2026-01-22 07:21:12 | DEBUG    | 创建会话: ZRqeA2lHmqo-p1A8wpjC6g
2026-01-22 07:21:12 | INFO     | 创建登录会话: ZRqeA2lHmqo-p1A8wpjC6g
2026-01-22 07:21:12 | DEBUG    | Session created in SQLite and memory
2026-01-22 07:21:12 | INFO     | 创建登录会话成功: ZRqeA2lHmqo-p1A8wpjC6g
